ticker,name,market,market_cap
019550,SBI인베스트먼트,KOSDAQ,103398474850
078935,GS우,KOSPI,103341425400
201490,미투온,KOSDAQ,103322377700
348150,고바이오랩,KOSDAQ,103308489480
002700,신일전자,KOSPI,103250045954
058630,엠게임,KOSDAQ,102925796640
263600,덕우전자,KOSDAQ,102909802600
007980,TP,KOSPI,102705196500
228850,레이언스,KOSDAQ,102698376660
347890,엠엑스온,KOSDAQ,102457752160
033130,디지틀조선,KOSDAQ,102438136920
064800,포니링크,KOSDAQ,102118031102
054670,대한뉴팜,KOSDAQ,102063481200
049480,오픈베이스,KOSDAQ,101965632835
046940,우원개발,KOSDAQ,101939334000
013360,일성건설,KOSPI,101890923680
311690,CJ 바이오사이언스,KOSDAQ,101779948980
091440,한울소재과학,KOSDAQ,101754563200
105550,엣지파운드리,KOSDAQ,101329323994
124560,태웅로직스,KOSDAQ,101254920765
299170,더블유에스아이,KOSDAQ,101079986280
067370,선바이오,KOSDAQ,100962635400
191420,테고사이언스,KOSDAQ,100954983300
238090,앤디포스,KOSDAQ,100923356400
119650,KC코트렐,KOSPI,100782913662
019990,에너토크,KOSDAQ,100585267280
036630,세종텔레콤,KOSDAQ,100500000000
039610,화성밸브,KOSDAQ,100460360000
000180,성창기업지주,KOSPI,100442304000
173130,오파스넷,KOSDAQ,100066447910
058860,KTis,KOSPI,100055750000
120240,대정화금,KOSDAQ,99802627080
012700,리드코프,KOSDAQ,99802386120
461030,아이엠비디엑스,KOSDAQ,99768238320
002720,국제약품,KOSPI,99662808720
065530,와이어블,KOSDAQ,99504618720
246720,아스타,KOSDAQ,99434491000
041910,폴라리스AI파마,KOSDAQ,99359458000
095910,에스에너지,KOSDAQ,99209777940
251630,브이원텍,KOSDAQ,99164750920
175140,휴먼테크놀로지,KOSDAQ,99028684410
004060,SG세계물산,KOSPI,98985805440
084650,랩지노믹스,KOSDAQ,98590706720
212560,네오오토,KOSDAQ,98514089940
453860,에이에스텍,KOSDAQ,98406339210
020710,시공테크,KOSDAQ,98335292850
033230,인성정보,KOSDAQ,98302929480
060560,HC홈센타,KOSDAQ,98124623865
348080,큐라티스,KOSDAQ,97901414288
023000,삼원강재,KOSPI,97600000000
011150,CJ씨푸드,KOSPI,97552048695
072950,빛샘전자,KOSDAQ,97517107100
048430,유라테크,KOSDAQ,97459200000
019540,일지테크,KOSDAQ,97432335000
066790,씨씨에스,KOSDAQ,97271994227
001260,남광토건,KOSPI,97145811360
290670,대보마그네틱,KOSDAQ,97042101000
096775,SK이노베이션우,KOSPI,97002700200
093920,서원인텍,KOSDAQ,96906000000
084730,팅크웨어,KOSDAQ,96874177280
014950,삼익제약,KOSDAQ,96873451840
048910,대원미디어,KOSDAQ,96857884200
046210,HLB파나진,KOSDAQ,96746915000
083790,CG인바이츠,KOSDAQ,96732880956
004650,창해에탄올,KOSDAQ,96688110200
068240,다원시스,KOSDAQ,96553495610
140070,서플러스글로벌,KOSDAQ,96538680000
007460,에이프로젠,KOSPI,96486373790
290660,다이나믹솔루션,KOSDAQ,96408948372
004890,동일산업,KOSPI,96402296250
010960,삼호개발,KOSPI,96359400000
033320,제이씨현시스템,KOSDAQ,96336737280
044340,위닉스,KOSDAQ,96159026500
014440,영보화학,KOSPI,95500000000
323350,다원넥스뷰,KOSDAQ,95488402240
055490,테이팩스,KOSPI,95393000000
302550,리메드,KOSDAQ,95348557750
072020,중앙백신,KOSDAQ,95343564960
134580,탑코미디어,KOSDAQ,94841942676
056360,코위버,KOSDAQ,94833024000
060590,씨티씨바이오,KOSDAQ,94668693300
241690,유니테크노,KOSDAQ,94579278690
058400,KNN,KOSDAQ,94422390360
040420,정상제이엘에스,KOSDAQ,94222087520
099220,SDN,KOSDAQ,94104363150
005750,대림바스,KOSPI,94031433600
002210,동성제약,KOSPI,94010780311
024830,세원물산,KOSDAQ,93937500000
299660,셀리드,KOSDAQ,93819466860
013870,지엠비코리아,KOSPI,93549533400
253840,수젠텍,KOSDAQ,93427056000
071090,하이스틸,KOSPI,93284596020
110790,크리스에프앤씨,KOSDAQ,93020911200
478560,블랙야크아이앤씨,KOSDAQ,92989072800
000590,CS홀딩스,KOSPI,92820352800
067570,엔브이에이치코리아,KOSDAQ,92774000000
007280,한국특강,KOSPI,92679485964
076610,해성옵틱스,KOSDAQ,92472090160
054040,한국컴퓨터,KOSDAQ,92409917500
011320,유니크,KOSDAQ,92352922100
126880,제이엔케이글로벌,KOSDAQ,92239489425
085310,엔케이,KOSPI,92211096418
004720,팜젠사이언스,KOSPI,92099135890
171120,라이온켐텍,KOSDAQ,91908505600
001560,제일연마,KOSPI,91732000000
214270,FSN,KOSDAQ,91706965250
060570,드림어스컴퍼니,KOSDAQ,91663645801
100220,비상교육,KOSPI,91367089230
068290,삼성출판사,KOSPI,91300000000
032850,비트컴퓨터,KOSDAQ,91261878570
023810,인팩,KOSPI,91200000000
031820,아이티센씨티에스,KOSPI,91151753898
347000,센코,KOSDAQ,90935084630
039010,현대에이치티,KOSDAQ,90907500000
192250,케이사인,KOSDAQ,90812556250
451250,삐아,KOSDAQ,90805787760
104040,디에스엠,KOSDAQ,90763918202
003010,혜인,KOSPI,90641886110
000105,유한양행우,KOSPI,90460004000
065510,휴비츠,KOSDAQ,90393741810
217500,러셀,KOSDAQ,90187020000
038680,에스넷,KOSDAQ,90005141840
128660,피제이메탈,KOSDAQ,89664178935
391710,코닉오토메이션,KOSDAQ,89502987000
009180,한솔로지스틱스,KOSPI,89394744375
203690,아크솔루션스,KOSDAQ,89196141000
338100,NH프라임리츠,KOSPI,89008200000
109070,주성코퍼레이션,KOSPI,88985237550
002800,신신제약,KOSDAQ,88899130000
111380,동인기연,KOSPI,88856000000
016250,SGC E&C,KOSDAQ,88852433040
443250,레뷰코퍼레이션,KOSDAQ,88767947200
187420,HLB제넥스,KOSDAQ,88736796960
081150,티플랙스,KOSDAQ,88701009310
071670,에이테크솔루션,KOSDAQ,88500000000
900250,크리스탈신소재,KOSDAQ,88391422468
101140,인바이오젠,KOSPI,88288658640
002600,조흥,KOSPI,88200000000
170030,현대공업,KOSDAQ,88051600000
212710,아이에스티이,KOSDAQ,87857789140
061040,알에프텍,KOSDAQ,87632039755
435570,에르코스,KOSDAQ,87595304500
036640,HRS,KOSDAQ,87498180000
216050,인크로스,KOSDAQ,87462341820
094940,푸른기술,KOSDAQ,87460097560
014470,부방,KOSDAQ,87436090560
053280,예스24,KOSDAQ,87375000000
018500,동원금속,KOSPI,87151195112
263800,데이타솔루션,KOSDAQ,87130290600
066430,아이로보틱스,KOSDAQ,86920716720
227950,엔투텍,KOSDAQ,86788146641
214330,금호에이치티,KOSPI,86782510980
378800,샤페론,KOSDAQ,86751926156
396690,미래에셋글로벌리츠,KOSPI,86737008600
012690,모나리자,KOSPI,86491018075
111710,남화산업,KOSDAQ,86469600000
006880,신송홀딩스,KOSPI,86468951980
408900,스튜디오미르,KOSDAQ,86467732560
102370,케이옥션,KOSDAQ,86452741750
307870,비투엔,KOSDAQ,85964272745
130580,나이스디앤비,KOSDAQ,85932000000
360350,코셈,KOSDAQ,85919550000
215360,우리산업,KOSDAQ,85294402420
000850,화천기공,KOSPI,85250000000
004590,한국가구,KOSDAQ,85200000000
207760,미스터블루,KOSDAQ,85156777575
459100,위츠,KOSDAQ,85105752000
009200,무림페이퍼,KOSPI,85091038950
162300,신스틸,KOSDAQ,85016333100
027830,대성창투,KOSDAQ,84996000000
214260,라파스,KOSDAQ,84763398500
109080,옵티시스,KOSDAQ,84596360000
123420,위메이드플레이,KOSDAQ,84418672000
452400,이닉스,KOSDAQ,84273566120
036090,위지트,KOSDAQ,84058521640
142280,녹십자엠에스,KOSDAQ,84032543990
120115,코오롱인더우,KOSPI,84004551000
049180,셀루메드,KOSDAQ,83948814126
246690,TS인베스트먼트,KOSDAQ,83842274670
183490,엔지켐생명과학,KOSDAQ,83793832650
017650,대림제지,KOSDAQ,83633200000
104620,노랑풍선,KOSDAQ,83296285160
163280,에어레인,KOSDAQ,83250837360
241790,티이엠씨씨엔에스,KOSDAQ,83221914880
052900,KX하이텍,KOSDAQ,83169034704
053450,세코닉스,KOSDAQ,83135552860
208140,정다운,KOSDAQ,83017984840
127980,화인써키트,KOSDAQ,83003194840
037440,희림,KOSDAQ,82838726250
417790,트루엔,KOSDAQ,82804972810
001550,조비,KOSPI,82712367270
013700,까뮤이앤씨,KOSPI,82695148720
007590,동방아그로,KOSPI,82522516620
302430,이노메트리,KOSDAQ,82500615120
010040,한국내화,KOSPI,82093056938
045660,에이텍,KOSDAQ,81939200000
089850,유비벨록스,KOSDAQ,81899906440
175250,아이큐어,KOSDAQ,81501658560
168330,내츄럴엔도텍,KOSDAQ,81292544000
069730,DSR제강,KOSPI,81216000000
136410,아셈스,KOSDAQ,81210811220
412540,제일엠앤에스,KOSDAQ,81063616775
204840,지엘팜텍,KOSDAQ,81038711270
479960,위너스일렉,KOSDAQ,80910310000
340360,다보링크,KOSDAQ,80905547688
261520,이지스,KOSDAQ,80886286000
424980,마이크로투나노,KOSDAQ,80852037400
480370,씨케이솔루션,KOSPI,80391484800
222110,팬젠,KOSDAQ,80290472150
027050,코리아나,KOSDAQ,80200000000
159580,제로투세븐,KOSDAQ,80030380820
037760,쎄니트,KOSDAQ,80014858165
039240,경남스틸,KOSDAQ,79724729820
001470,삼부토건,KOSPI,79699592928
222160,NPX,KOSDAQ,79551289560
066980,한성크린텍,KOSDAQ,79512676375
006090,사조오양,KOSPI,79433689770
376930,노을,KOSDAQ,79398968004
094850,참좋은여행,KOSDAQ,79380000000
061250,화일약품,KOSDAQ,79377823721
041460,한국전자인증,KOSDAQ,79325000000
099410,동방선기,KOSDAQ,79240000000
049470,비트플래닛,KOSDAQ,79110862656
067920,이글루,KOSDAQ,79062095610
145170,노브랜드,KOSDAQ,78962251350
032540,TJ미디어,KOSDAQ,78783247010
458350,에스팀,KOSDAQ,78756624000
317690,퀀타매트릭스,KOSDAQ,78727963390
025560,미래산업,KOSPI,78653292600
011000,진원생명과학,KOSPI,78613714555
039020,이건홀딩스,KOSDAQ,78481863775
950220,네오이뮨텍,KOSDAQ,78454773540
000725,현대건설우,KOSPI,78363689900
043710,서울리거,KOSDAQ,78339071550
053050,지에스이,KOSDAQ,78267628170
011390,부산산업,KOSPI,78249600000
017480,삼현철강,KOSDAQ,78200392200
446840,지슨,KOSDAQ,78162894777
016090,대현,KOSPI,78158277150
009770,삼정펄프,KOSPI,77749098100
155650,와이엠씨,KOSDAQ,77699996010
004830,덕성,KOSPI,77694400000
042110,에스씨디,KOSDAQ,77375631964
010280,아이티센엔텍,KOSDAQ,77367056580
060310,3S,KOSDAQ,77147844160
054930,유신,KOSDAQ,77100000000
024900,디와이덕양,KOSPI,77016177700
058730,다스코,KOSPI,76900391955
226330,신테카바이오,KOSDAQ,76899365750
002795,아모레퍼시픽홀딩스우,KOSPI,76829310880
260930,씨티케이,KOSDAQ,76592700360
222420,쎄노텍,KOSDAQ,76541279528
043650,국순당,KOSDAQ,76433541120
294140,레몬,KOSDAQ,76322455290
003925,남양유업우,KOSPI,76300000000
153710,옵티팜,KOSDAQ,76137082020
064240,홈캐스트,KOSDAQ,75980409690
003780,진양산업,KOSPI,75660000000
009835,한화솔루션우,KOSPI,75586493150
147760,피엠티,KOSDAQ,75522664680
317870,엔바이오니아,KOSDAQ,75332945400
012790,신일제약,KOSDAQ,75274686200
333620,엔시스,KOSDAQ,75266732720
288620,에스프리즘,KOSDAQ,75167233320
129260,인터지스,KOSPI,75113381850
033170,시그네틱스,KOSDAQ,75098007444
072470,우리산업홀딩스,KOSDAQ,74982743770
321820,아티스트컴퍼니,KOSDAQ,74916561680
347740,피엔케이피부임상연구센타,KOSDAQ,74876387120
331380,포커스에이아이,KOSDAQ,74870539590
457370,한켐,KOSDAQ,74816603520
317850,대모,KOSDAQ,74753291600
047400,유니온머티리얼,KOSPI,74676000000
004540,깨끗한나라,KOSPI,74667589465
900260,로스웰,KOSDAQ,74568123720
104540,코렌텍,KOSDAQ,74540864200
234100,폴라리스세원,KOSDAQ,74468346660
040610,SG&G,KOSDAQ,74139651300
036000,예림당,KOSDAQ,73824857785
111110,호전실업,KOSPI,73789120000
021050,서원,KOSPI,73585614500
049550,잉크테크,KOSDAQ,73523538750
087260,모바일어플라이언스,KOSDAQ,73406701555
001465,BYC우,KOSPI,73230900000
0013V0,삼진식품,KOSDAQ,72902121600
219550,디와이디,KOSDAQ,72819859931
198440,강동씨앤엘,KOSDAQ,72813615720
170790,파이오링크,KOSDAQ,72801672300
024910,경창산업,KOSDAQ,72712580150
459550,알트,KOSDAQ,72696530100
010470,오리콤,KOSDAQ,72568803000
080010,이상네트웍스,KOSDAQ,72386122560
373200,엑스플러스,KOSDAQ,72325014869
006980,우성,KOSPI,72306000000
000220,유유제약,KOSPI,72302329995
052220,iMBC,KOSDAQ,72105000000
155660,DSR,KOSPI,72080000000
460870,에스엠씨지,KOSDAQ,72063161360
042940,상지건설,KOSDAQ,71906337360
234920,자이글,KOSDAQ,71849132100
372910,한컴라이프케어,KOSPI,71676711540
318160,셀바이오휴먼텍,KOSDAQ,71460187650
001620,케이비아이동국실업,KOSPI,71450125902
040350,크레오에스지,KOSDAQ,71445147852
033310,엠투엔,KOSDAQ,71390806416
340440,세림B&G,KOSDAQ,71229693640
184230,SGA솔루션즈,KOSDAQ,71207681584
092300,현우산업,KOSDAQ,70770512240
317530,에피소드컴퍼니,KOSDAQ,70766797690
177900,쓰리에이로직스,KOSDAQ,70762860000
306040,에스제이그룹,KOSDAQ,70737986760
037230,한국팩키지,KOSDAQ,70626774990
002140,고려산업,KOSPI,70578572750
000910,유니온,KOSPI,70564517880
393210,토마토시스템,KOSDAQ,70343520720
036670,삼양케이씨아이,KOSDAQ,70324800000
065500,오리엔트정공,KOSDAQ,70308758880
015710,코콤,KOSDAQ,70297305000
299900,위지윅스튜디오,KOSDAQ,70130042440
321260,프로이천,KOSDAQ,70057328740
007370,진양제약,KOSDAQ,69966205650
352910,오비고,KOSDAQ,69760667040
039420,케이엘넷,KOSDAQ,69758861760
950200,소마젠,KOSDAQ,69730692125
010240,흥국,KOSDAQ,69650700000
073640,테라사이언스,KOSDAQ,69571715580
092440,기신정기,KOSPI,69496000000
215090,솔디펜스,KOSDAQ,69466983000
246960,SCL사이언스,KOSDAQ,69394775880
289220,자이언트스텝,KOSDAQ,69391007310
332370,아이디피,KOSDAQ,69288849720
373160,데이원컴퍼니,KOSDAQ,69175419690
036120,서울평가정보,KOSDAQ,69095070000
206560,덱스터,KOSDAQ,68865804560
068330,일신바이오,KOSDAQ,68756097700
002760,보락,KOSPI,68705300000
384470,코어라인소프트,KOSDAQ,68287163060
072990,에이치시티,KOSDAQ,68214059230
256630,포인트엔지니어링,KOSDAQ,68146559600
109860,동일금속,KOSDAQ,67886000000
006490,인스코비,KOSPI,67837044405
024950,삼천리자전거,KOSDAQ,67827978470
196300,HLB펩,KOSDAQ,67731283500
122310,제노레이,KOSDAQ,67238759280
218150,미래생명자원,KOSDAQ,67065909570
065170,비엘팜텍,KOSDAQ,66993103200
0010F0,보원케미칼,KOSDAQ,66973042010
037330,인지디스플레,KOSDAQ,66924966600
092780,DYP,KOSPI,66764092200
378850,화승알앤에이,KOSPI,66762584845
407400,꿈비,KOSDAQ,66733475040
199550,레이저옵텍,KOSDAQ,66603245130
232830,아이티센피엔에스,KOSDAQ,66548247150
063440,SM Life Design,KOSDAQ,66483506988
189860,서전기전,KOSDAQ,66436643000
072130,유엔젤,KOSPI,66397224420
053350,이니텍,KOSDAQ,66393510975
009190,대양금속,KOSPI,66343872000
150900,파수에이아이,KOSDAQ,66244198520
137080,나래나노텍,KOSDAQ,66135343560
351330,이삭엔지니어링,KOSDAQ,66059504400
198080,캐프,KOSDAQ,65897666100
452200,민테크,KOSDAQ,65816647085
189980,흥국에프엔비,KOSDAQ,65745760626
