date,ticker,nav,open,high,low,close,volume,trading_value,base_index
2026-01-30,367740,26207.23,25815,26785,25815,26270,1810,47640680,4439.72
2026-01-30,407300,11227.89,11100,11320,11100,11240,2101,23576370,1180.31
2026-01-30,381560,12294.53,12585,12585,12250,12325,14925,184949195,2791.73
2026-01-30,441540,32256.08,32980,33060,32165,32190,54946,1782822631,5313.62
2026-01-30,381570,9820.2,9955,9990,9700,9845,14253,140902291,1895.43
2026-01-30,479850,16272.87,16685,16800,16240,16240,137309,2272228556,639.12
2026-01-30,453060,109725.33,109730,109735,109725,109735,232,25456460,1179.23
2026-01-30,304760,34933.84,34845,35650,34845,35015,324,11412535,3469.74
2026-01-30,322410,21051.52,20970,21340,20940,21110,32499,687780313,3151.16
2026-01-30,332940,33604.71,33370,34275,33370,33700,17587,596042465,3399.29
2026-01-30,322400,13523.99,13675,13740,13455,13460,40898,556813771,2313.92
2026-01-30,473640,40376.82,40430,41915,39000,39000,377998,15097048152,2743.86
2026-01-30,354350,21734.14,21065,21400,20870,21320,6516,138905005,4593.32
2026-01-30,461340,30524.89,30935,30935,29500,30260,11623,352647166,16103.67
2026-01-30,424460,16145.06,15965,16145,15965,16030,514,8259312,2516.9
2026-01-30,401590,11900.09,11795,11835,11750,11785,1641,19321485,660.55
2026-01-30,0040S0,17823.09,17935,17935,17550,17550,67149,1188959568,15236.33
2026-01-30,314700,11181.19,11275,11280,11050,11150,6086,67928995,1388.41
2026-01-30,486830,52328.6,52320,52340,52320,52330,4854,253998645,117.96
2026-01-30,432840,18700.45,18595,18625,18510,18590,6478,120361770,6939.03
2026-01-30,498050,17063.87,17465,17615,17060,17065,145015,2508569540,1559.33
2026-01-30,476260,12222.51,11855,12845,11835,12265,1118512,13842361405,1683.2
2026-01-30,434730,59627.23,60245,60820,59320,59690,647608,38870721234,5551.79
2026-01-30,0082F0,11734.85,11685,11770,11665,11680,8451,98806985,572.01
2026-01-30,491820,34357.91,33965,35095,33500,34380,198065,6821865596,8963.68
2026-01-30,461500,107884.79,108220,108220,107900,107900,314,33938210,117.55
2026-01-30,0111J0,14288.49,13950,14660,13820,14305,769509,10997057179,5363.29
2026-01-30,495750,22868.95,22495,23325,22490,22930,2350,54215805,2330.71
2026-01-30,304770,20444.25,20840,21375,20430,20430,365916,7652916403,2052.25
2026-01-30,306530,19690.43,20635,21655,19500,19900,206566,4263578239,2377.42
2026-01-30,375760,18125.48,18080,18515,18080,18170,6360,116578365,3078.19
2026-01-30,491700,77918.44,78035,78695,77920,78225,1258,98470515,768.41
2026-01-30,0000Y0,100249.29,100255,100255,100255,100255,1,100255,108.44
2026-01-30,215620,17397.98,0,0,0,17295,0,0,13149.59
2026-01-30,0113P0,100674.23,100680,100685,100680,100685,44,4430035,115.29
2026-01-30,391670,20315.93,20415,20635,20280,20280,250,5110750,768.41
2026-01-30,472920,100950.98,101105,101140,100940,100940,412,41659445,117.39
2026-01-30,472840,76975.11,76930,78525,76895,77110,646,50038910,768.41
2026-01-30,0005G0,25756.82,25105,26425,25105,25620,86630,2231997987,5384.46
2026-01-30,0135Y0,100085.72,0,0,0,100100,0,0,112.11
2026-01-30,483570,15237.39,15255,15255,15095,15135,9793,148157141,8422.51
2026-01-30,069660,77107.97,76405,78605,76405,77270,639687,49603194250,768.41
2026-01-30,294400,100731.97,99765,102695,99765,100930,258153,26201822226,1011.36
2026-01-30,253250,69266.15,67405,71630,67405,68840,138030,9490499610,3798.15
2026-01-30,253240,2465.06,2495,2505,2425,2475,57036,140777345,3798.15
2026-01-30,253230,374.65,390,391,373,388,315950,119968045,3798.15
2026-01-30,464240,52469.96,52480,52515,52475,52475,992,52055880,116.36
2026-01-30,458210,108788.03,108805,108820,108805,108805,341,37105090,1449.58
2026-01-30,460280,13175.18,13310,13400,13050,13105,3658,48438130,0.0
2026-01-30,488200,12929.4,13315,13485,12870,12975,13693,178937443,3211.02
2026-01-30,488210,18432.24,17695,18965,17695,18485,18871,349799375,3629.11
2026-01-30,469790,25971.52,25355,26485,25355,25995,6753,176911440,5156.41
2026-01-30,100910,12170.78,12105,12440,12105,12200,5311,65183685,12124.03
2026-01-30,435530,14937.07,14970,14970,14860,14860,3159,46997745,568.37
2026-01-30,435540,16586.85,16625,16625,16480,16500,3308,54641805,751.23
2026-01-30,435550,17012.21,16800,16975,16800,16905,9436,159771500,885.36
2026-01-30,104530,18184.86,18010,18390,18000,18230,48228,876807431,18389.51
2026-01-30,148070,107514.71,107950,108020,107535,107535,26255,2827518351,16079.49
2026-01-30,167860,98808.52,99710,99715,98900,99015,1637,162918550,16079.49
2026-01-30,471460,54661.97,55200,55200,54735,54785,13015,713984109,8961.65
2026-01-30,114470,108947.01,109070,109070,108990,108995,1568,170910780,10275.58
2026-01-30,473490,23394.5,23625,23625,23025,23025,51484,1190882443,14093.21
2026-01-30,489860,14408.44,14340,14345,14250,14315,26702,381982975,1358.55
2026-01-30,394350,15710.88,15750,15880,15730,15820,150,2368440,3408.71
2026-01-30,130730,101480.32,101505,101505,101475,101490,12271,1245267515,14513.45
2026-01-30,419890,106368.53,106435,106435,106405,106420,303,32245305,126.42
2026-01-30,411860,17742.55,17760,17885,17590,17855,9769,173660449,9193.26
2026-01-30,476450,51836.97,51830,51855,51830,51840,11303,585899890,117.7
2026-01-30,430500,112374.34,112730,112745,112405,112480,570,64161480,14124.02
2026-01-30,426330,16573.3,16215,16485,16215,16440,735,12066790,332.36
2026-01-30,449770,19957.37,19830,19885,19800,19805,11295,223957875,6939.03
2026-01-30,0127V0,10164.54,10145,10145,10065,10095,16401,165557030,731.27
2026-01-30,0137W0,10126.78,10095,10095,10002,10015,236011,2367213133,5657.75
2026-01-30,0127T0,10346.74,10265,10315,10265,10275,83960,864345539,543.69
2026-01-30,449780,17155.68,17150,17155,17030,17035,42628,729208195,6939.03
2026-01-30,0137V0,9754.16,9560,9715,9540,9660,248662,2406054944,2980.64
2026-01-30,0107F0,10568.08,10380,10465,10370,10425,38020,396934103,3279.61
2026-01-30,453080,20399.23,20395,20405,20220,20250,49499,1006024896,25552.39
2026-01-30,460270,12794.11,12740,12800,12725,12775,3549,45393855,1230.21
2026-01-30,138230,16569.44,16490,16565,16445,16555,11048,182460915,1603.89
2026-01-30,225800,16145.18,15935,16140,15935,16140,3135,50319290,1603.89
2026-01-30,139660,8101.36,8125,8125,8080,8100,2191,17728830,1603.89
2026-01-30,230480,4395.45,4445,4445,4385,4390,4908,21569125,1603.89
2026-01-30,0084E0,10074.54,10010,10030,10010,10010,67,671605,3460.41
2026-01-30,373790,15866.88,15605,15860,15605,15785,1304,20522575,1314.3
2026-01-30,483030,11273.54,11290,11305,11120,11200,8933,99902352,2433.23
2026-01-30,459790,19461.0,20250,20250,19275,19315,5052,97646017,6612.3
2026-01-30,498270,13233.56,13170,13215,13030,13090,479536,6297975022,7497.23
2026-01-30,474800,13279.9,13330,13760,13130,13395,178229,2366430361,1949.13
2026-01-30,0084D0,10700.82,10645,10645,10590,10615,13706,145489690,5926.73
2026-01-30,104520,13876.98,14065,14065,13810,13940,496,6913627,13893.38
2026-01-30,0015E0,10656.03,10640,10640,10525,10530,17689,186873990,7343.48
2026-01-30,483020,13809.96,14180,14280,13700,13720,30901,435389412,2971.53
2026-01-30,200250,24780.87,24535,24700,24435,24515,38979,957831085,25320.65
2026-01-30,454780,102827.48,103090,103090,102890,102890,262,26963196,117.75
2026-01-30,441330,12958.17,12750,12915,12740,12855,13,167150,2666.43
2026-01-30,454180,9344.34,9190,9280,9080,9080,1272,11668135,2049.67
2026-01-30,496090,22886.18,22530,23300,22530,22940,20689,476750510,2330.71
2026-01-30,316670,10209.89,10430,10660,10225,10230,1782844,18596086121,2052.25
2026-01-30,291630,9796.24,10270,10800,9960,9960,314161,3257160385,2377.42
2026-01-30,291620,3849.78,3780,3855,3665,3855,114436,429868565,2377.42
2026-01-30,153270,58787.36,58360,60000,58360,58855,10921,647052904,5897.08
2026-01-30,122260,102813.52,102840,102845,102825,102840,78,8020870,15099.95
2026-01-30,0015F0,10501.48,10200,10540,10200,10365,52864,549596119,1754.62
2026-01-30,0097L0,12225.89,12270,12270,12085,12200,35709,435608894,4977.75
2026-01-30,069500,77214.34,76485,78740,76460,77305,16021987,1244151353009,768.41
2026-01-30,226980,22808.16,22905,23000,22525,22830,20651,470432614,2266.93
2026-01-30,337160,31481.94,31085,32130,31085,31550,38290,1213753516,933.71
2026-01-30,363580,29766.24,28755,30270,28745,29835,120286,3559566925,9043.97
2026-01-30,278530,27774.45,27605,28325,27515,27795,1908990,53329892478,1011.36
2026-01-30,337150,23571.62,23800,23820,23445,23640,2184,51604885,508.73
2026-01-30,223190,21989.03,22165,22380,21970,22050,6801,150505535,10737.87
2026-01-30,252650,17641.51,17755,17785,17580,17655,3258,57624847,3539.94
2026-01-30,360140,11815.39,11495,11810,11420,11795,42404,491983061,1029.98
2026-01-30,284430,18584.2,18455,18700,18455,18600,1728846,32147591026,4288.15
2026-01-30,252670,375.47,385,386,362,377,3358075998,1254263488955,3798.15
2026-01-30,494890,22312.39,22080,22750,22080,22350,851470,19107876063,768.41
2026-01-30,498400,16712.48,16585,17035,16575,16745,9426135,158707566621,2363.94
2026-01-30,0117L0,9991.2,9995,10000,9990,10000,34592,345752215,108.98
2026-01-30,473290,10730.5,10735,10735,10725,10730,44421,476643565,119.72
2026-01-30,0007F0,10103.31,10115,10115,10095,10110,14096,142392795,108.93
2026-01-30,0119H0,9911.73,9925,9935,9910,9910,23396,232122500,102.92
2026-01-30,305720,17454.71,18185,18380,17370,17370,13044060,230921767346,3048.65
2026-01-30,462330,1999.64,2150,2205,1967,1985,67630224,138487499584,3048.65
2026-01-30,461950,6795.7,7185,7275,6800,6800,5000052,34965101760,6040.98
2026-01-30,457690,10656.54,10690,10695,10655,10660,52792,563579260,112.61
2026-01-30,271060,7823.04,7825,7905,7755,7820,85677,668655624,16.12
2026-01-30,457700,10622.01,10720,10720,10640,10645,13901,148145950,106.05
2026-01-30,395160,25084.35,24135,25890,24080,25105,10248875,258634131612,5777.37
2026-01-30,471990,20767.9,19905,21560,19780,20750,3620348,75615724691,5821.22
2026-01-30,487240,28408.19,28015,29045,27685,28400,6397202,182321479764,17170.22
2026-01-30,481050,1021580.24,1021685,1021690,1021685,1021690,10962,11199744125,1222.51
2026-01-30,459580,1073507.78,1073560,1073565,1073560,1073565,274604,294804609933,123.1
2026-01-30,439860,113690.06,113815,113815,113695,113700,197,22404790,130.18
2026-01-30,266370,40204.25,39135,41200,39135,40255,52714,2128304647,3466.55
2026-01-30,368680,9156.23,9380,9380,9150,9165,3372,31157482,2179.48
2026-01-30,423160,110634.97,110650,110655,110650,110655,378944,41931750032,1179.23
2026-01-30,292190,35632.24,35465,36370,35465,35690,25593,919935980,3469.74
2026-01-30,306950,58226.15,57540,60000,57145,58915,8816,517447071,3469.74
2026-01-30,229720,28439.83,28695,29025,28365,28500,32447,932461467,14322.58
2026-01-30,0080G0,13140.54,13585,13585,12900,13155,5194381,68483401095,12523.31
